trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
940,False,"{'a': 0.5, 'e': 0.00904991421790279}",25,19,10.227004183850722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
941,False,"{'a': 0.5, 'e': 0.009004777582436561}",20,13,14.038352489477381,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
942,False,"{'a': 0.5, 'e': 0.008959866066878892}",30,12,36.11946563017471,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
943,False,"{'a': 0.5, 'e': 0.008915178548439555}",20,13,16.937677127741186,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
944,False,"{'a': 0.5, 'e': 0.008870713909928253}",20,1,30.12442649443092,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
945,False,"{'a': 0.5, 'e': 0.008826471039726724}",25,13,25.423778209415133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,False,"{'a': 0.5, 'e': 0.008782448831760901}",25,9,29.134761159330644,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.5, 'e': 0.008738646185473292}",25,11,27.20371858833135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.5, 'e': 0.008695062005795458}",30,15,27.507569802346143,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.5, 'e': 0.008651695203120636}",20,12,14.758770185217575,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.5, 'e': 0.008608544693276503}",25,18,14.463855202851413,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.5, 'e': 0.008565609397498062}",25,13,23.498896382626153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.5, 'e': 0.008522888242400686}",25,14,23.895326944537906,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
